,accuracy,precision,recall,f1-score,support
0,,0.805,0.825,0.815,80
1,,0.948,0.912,0.93,80
2,,0.731,0.612,0.667,80
3,,0.963,0.975,0.969,80
4,,0.823,0.812,0.818,80
5,,1.0,0.95,0.974,80
6,,0.638,0.75,0.69,80
7,,1.0,1.0,1.0,80
8,,0.941,1.0,0.97,80
9,,0.975,0.988,0.981,80
10,,0.988,1.0,0.994,80
11,,0.988,0.988,0.988,80
12,,0.976,1.0,0.988,80
13,,0.988,0.988,0.988,80
14,,0.987,0.962,0.975,80
15,,1.0,0.988,0.994,80
16,,1.0,0.988,0.994,80
17,,0.988,1.0,0.994,80
18,,0.975,0.988,0.981,80
19,,0.987,0.949,0.968,79
20,,1.0,0.988,0.994,80
21,,0.976,1.0,0.988,80
22,,0.987,0.975,0.981,80
23,,1.0,1.0,1.0,80
average,0.943,0.944,0.943,0.943,1919
