,accuracy,precision,recall,f1-score,support
speaker_1,,0.708,0.638,0.671,80
speaker_10,,0.922,0.888,0.904,80
speaker_11,,0.96,0.9,0.929,80
speaker_12,,0.984,0.788,0.875,80
speaker_13,,1.0,0.775,0.873,80
speaker_14,,0.722,0.875,0.791,80
speaker_15,,0.652,0.912,0.76,80
speaker_16,,0.985,0.8,0.883,80
speaker_17,,0.833,0.688,0.753,80
speaker_18,,0.868,0.738,0.797,80
speaker_19,,0.449,1.0,0.62,80
speaker_2,,0.707,0.725,0.716,80
speaker_20,,0.928,0.81,0.865,79
speaker_21,,0.74,0.712,0.726,80
speaker_22,,0.933,0.875,0.903,80
speaker_23,,0.892,0.825,0.857,80
speaker_24,,0.838,0.838,0.838,80
speaker_3,,0.586,0.425,0.493,80
speaker_4,,0.959,0.875,0.915,80
speaker_5,,0.825,0.65,0.727,80
speaker_6,,0.823,0.812,0.818,80
speaker_7,,0.385,0.438,0.409,80
speaker_8,,0.969,0.775,0.861,80
speaker_9,,0.724,0.888,0.798,80
average,0.777,0.808,0.777,0.783,1919
