,accuracy,precision,recall,f1-score,support
speaker_1,,0.833,0.562,0.672,80
speaker_10,,0.987,0.962,0.975,80
speaker_11,,1.0,1.0,1.0,80
speaker_12,,1.0,1.0,1.0,80
speaker_13,,1.0,0.988,0.994,80
speaker_14,,0.976,1.0,0.988,80
speaker_15,,0.975,0.975,0.975,80
speaker_16,,1.0,1.0,1.0,80
speaker_17,,0.976,1.0,0.988,80
speaker_18,,0.964,1.0,0.982,80
speaker_19,,0.964,1.0,0.982,80
speaker_2,,0.763,0.925,0.836,80
speaker_20,,0.987,0.949,0.968,79
speaker_21,,1.0,1.0,1.0,80
speaker_22,,1.0,1.0,1.0,80
speaker_23,,0.988,0.988,0.988,80
speaker_24,,1.0,1.0,1.0,80
speaker_3,,0.662,0.612,0.636,80
speaker_4,,0.83,0.975,0.897,80
speaker_5,,0.786,0.825,0.805,80
speaker_6,,0.963,0.975,0.969,80
speaker_7,,0.591,0.488,0.534,80
speaker_8,,0.941,1.0,0.97,80
speaker_9,,0.975,0.988,0.981,80
average,0.925,0.923,0.925,0.922,1919
