,train2 acc,val_acc
"{'n_estimators': 500, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'criterion': 'gini'}",0.9992464204973625,0.9191208791208791
"{'n_estimators': 500, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'criterion': 'gini'}",0.9998116051243406,0.912967032967033
"{'n_estimators': 500, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.9998116051243406,0.9076923076923077
"{'n_estimators': 500, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'criterion': 'gini'}",0.9986812358703844,0.9072527472527473
"{'n_estimators': 500, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'criterion': 'entropy'}",0.9981160512434062,0.9068131868131868
"{'n_estimators': 200, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'criterion': 'gini'}",0.9998116051243406,0.9046153846153846
"{'n_estimators': 500, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'criterion': 'gini'}",0.996043707611153,0.9041758241758242
"{'n_estimators': 500, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'criterion': 'entropy'}",0.9994348153730218,0.9041758241758242
"{'n_estimators': 200, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'criterion': 'gini'}",0.9990580256217031,0.9041758241758242
"{'n_estimators': 200, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'criterion': 'gini'}",0.9984928409947249,0.9024175824175824
"{'n_estimators': 200, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'criterion': 'entropy'}",0.9994348153730218,0.8984615384615384
"{'n_estimators': 200, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'criterion': 'gini'}",0.9952901281085155,0.8949450549450549
"{'n_estimators': 200, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'criterion': 'entropy'}",0.9983044461190655,0.8931868131868131
"{'n_estimators': 200, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.9998116051243406,0.8927472527472528
"{'n_estimators': 500, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'criterion': 'entropy'}",0.9941597588545592,0.8923076923076924
"{'n_estimators': 100, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'criterion': 'gini'}",0.9992464204973625,0.8887912087912088
"{'n_estimators': 100, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'criterion': 'gini'}",0.9983044461190655,0.8861538461538462
